Fecha;Concepto;Proveedor;Moneda;Monto;TC;Monto en USD;Origen;Forma;Destino;Tipo Comprobante;Comp. No.;Recibo;Estado del Pago;Vencimiento;Cheque No.;Fecha de Pago;Ref. Operaci¢n;ID Mes Registro;ID Registro;Proyecto;ID Mes Pago;Categor¡a;éltimo Registro: 3717;éltimo en Costos: 3626 (Obsoleto);;;;;;;
16/02/18;Pago Despachante Muestras ;Enrique Amespil;UYU;3.382,00;28,90;117,04;PSS;Transf. PSS - Ita£ UYU;Despachos;Cr‚dito;2196;2430;;;;;23. Mallas Plasticas - Guarino;;94;23;;1;;;;;;;;;
16/02/18;Costos por Transferencia (Despacho);ITAU;UYU;54,07;28,90;1,87;PSS;D‚bito Aut. PSS - Ita£ USD;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;23. Mallas Plasticas - Guarino;;95;23;;1;;;;;;;;;
16/02/18;Cambio USD a UYU;ITAU;USD;52,24;1,00;52,24;PSS;Transf. PSS - Ita£ USD;Cambio de Moneda;Sin Comp.;N/A;N/A;;;;;;;96;;;0;;;;;;;;;
19/02/18;Compra Super;Boca Fr¡a;UYU;934,00;28,51;32,77;PSS;D‚bito PSS - Ita£ UYU;Gastos;Boleta;76165;N/A;;;;;;;97;;;;;;;;;;;;
22/02/18;Compra Combustible;Petrobras - Colben Ltda.;UYU;1.000,00;28,54;35,04;Juan;Efectivo;Gastos;Boleta;7988;N/A;;;;;;;98;;;;;;;;;;;;
26/02/18;Cambio USD a UYU;ITAU;USD;1.000,00;1,00;1.000,00;PSS;Transf. PSS - Ita£ USD;Cambio de Moneda;Sin Comp.;N/A;N/A;;;;;;;99;;;0;;;;;;;;;
27/02/18;Pago UTE;UTE;UYU;2.979,00;28,45;104,73;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Cr‚dito;4819981;270218;;;;;;;100;;;;;;;;;;;;
27/02/18;Pago Antel;ANTEL;UYU;672,00;28,45;23,62;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Cr‚dito;621386;27021801;;;;;;;101;;;;;;;;;;;;
02/03/18;Pago Service Auto Juan;Werner Bernheim S.A.;UYU;15.455,00;28,36;545,05;Juan;D‚bito BBVA Juan;Gastos;Boleta;30662;N/A;;;;;;;102;;;;;;;;;;;;
03/03/18;Retiro para Caja PSS;PSS;UYU;1.500,00;28,36;52,90;PSS;D‚bito PSS - Ita£ UYU;Caja PSS - UYU;Ticket;5736;N/A;;;;;;;103;;;;;;;;;;;;
03/03/18;Limpieza Mar.18;Sra. Magela;UYU;1.500,00;28,36;52,90;Caja;Efectivo;Gastos S/Comp.;Sin Comp.;N/A;N/A;;;;;;;104;;;;;;;;;;;;
04/03/18;Compra ESSO Sarmiento;ESSO - Aleso SRL;UYU;2.029,00;28,36;71,56;Javier;Efectivo;Gastos;Boleta;7940;N/A;;;;;;;105;;;;;;;;;;;;
06/03/18;Compra Autoservice;Autoservice Norma Rodriguez;UYU;721,56;28,45;25,37;PSS;D‚bito PSS - Ita£ UYU;Gastos;Boleta;71;N/A;;;;;;;106;;;;;;;;;;;;
08/03/18;Pago Despachante Muestra;Enrique Amespil;UYU;4.511,00;28,33;159,26;PSS;Transf. PSS - Ita£ UYU;Despachos;Cr‚dito;2208;2441;;;;;42. CDW90807- Sum. de Pa¤o Absorbente - UTE;;107;42;;1;;;;;;;;;
08/03/18;Compra Combustible;ESSO - Serinal S.A.;UYU;1.400,00;28,33;49,43;PSS;D‚bito PSS - Ita£ UYU;Gastos;Boleta;236460;N/A;;;;;;;109;;;;;;;;;;;;
08/03/18;Pago Factura BPS Febrero 2018;BPS;UYU;3.466,00;28,33;122,37;PSS;Transf. PSS - Ita£ UYU;Cargas Sociales;Cr‚dito;699897;80318;;;;;;;110;;;;;;;;;;;;
09/03/18;Costo por Transf. (Desp.);ITAU;UYU;53,86;28,33;1,90;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;42. CDW90807- Sum. de Pa¤o Absorbente - UTE;;108;42;;1;;;;;;;;;
09/03/18;Cambio USD a UYU;ITAU;USD;96,44;1,00;96,44;PSS;Transf. PSS - Ita£ USD;Cambio de Moneda;Sin Comp.;N/A;N/A;;;;;;;111;;;0;;;;;;;;;
09/03/18;TCC Federico - Internet;Federico Del Rey;UYU;800,00;28,33;28,24;PSS;D‚bito PSS - Ita£ UYU;Gastos;Sin Comp.;N/A;N/A;;;;;;;112;;;;;;;;;;;;
09/03/18;TCC Federico - Cable;Federico Del Rey;UYU;950,00;28,33;33,54;PSS;D‚bito PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;113;;;;;;;;;;;;
09/03/18;Pago Cont. Inmobiliaria;Federico Del Rey;UYU;2.025,00;28,33;71,49;PSS;D‚bito PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;114;;;;;;;;;;;;
09/03/18;Pago Tasa Saneamiento;Federico Del Rey;UYU;14,00;28,33;0,49;PSS;D‚bito PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;115;;;;;;;;;;;;
09/03/18;Debito Abitab por Pagos;ABITAB;UYU;13,16;28,33;0,46;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos;Sin Comp.;N/A;N/A;;;;;;;116;;;;;;;;;;;;
09/03/18;Pago Alquiler Marzo2018;Federico Del Rey;UYU;10.151,00;28,33;358,38;PSS;Transf. PSS - Ita£ UYU;Alquileres;Sin Comp.;N/A;N/A;;;;;;;117;;;;;;;;;;;;
